Action,Source,Target
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3066.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_NE_20251009_175913.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3067.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_NE_20251009_175930.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3075.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_SE_20251010_125330.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3076.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_SE_20251010_125338.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3078.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_SE_20251010_125716.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3079.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_SE_20251010_125720.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3093.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JBW4b_NE_20251013_123334.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3094.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JBW4b_NE_20251013_123337.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_E3094.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JBW4b_NE_20251013_123337.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3095.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JBW4b_NW_20251013_154328.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3096.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NW_20251014_094653.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3097.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NW_20251014_112811.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3099.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_SW_20251014_140326.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3100.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_SW_20251014_140336.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3101.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_SW_20251014_165216.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3110.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_153904.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_E3110.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_153904.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3111.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_153908.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3112.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_153918.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3113.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_163254.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3114.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_SE_20251015_163301.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3115.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_163313.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3116.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_163335.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3117.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_163338.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3118.jpg,C:\FHMP\Photo_locations\phone_flora\temp\KAR2b_NE_20251015_163352.jpg
