filename,local directory,Online Location,longitude,latitude,date,,RawGithub
JBW4a_NE_20251016_151529,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_151529.jpg,115.29419438888888,-33.88187781,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NE_20251016_151558,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_151558.jpg,115.29419438888888,-33.88187781,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NE_20251016_152522,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_152522.jpg,115.2940221111111,-33.88191331,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NW_20251016_100337,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NW_20251016_100337.jpg,115.29273119444444,-33.88175031,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_SE_20251016_112011,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_SE_20251016_112011.jpg,115.29384580555555,-33.882719,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_SW_20251013_163920,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_SW_20251013_163920.jpg,115.2927441111111,-33.88275631,13-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4b_NE_20251013_122042,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4b_NE_20251013_122042.jpg,115.27722238888889,-33.881079,13-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4b_NW_20251013_153037,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4b_NW_20251013_153037.jpg,115.2761333888889,-33.8808745,13-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4b_SE_20251013_094944,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4b_SE_20251013_094944.jpg,115.27724988888889,-33.881703,13-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4b_SW_20251013_142938,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4b_SW_20251013_142938.jpg,115.27623361111111,-33.88176919,13-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4c_NE_20251017_111124,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4c_NE_20251017_111124.jpg,115.28698480555555,-33.88104769,17-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4c_NW_20251017_082103,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4c_NW_20251017_082103.jpg,115.2861023,-33.88100689,17-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4c_SE_20251017_100814,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4c_SE_20251017_100814.jpg,115.286931,-33.88197339,17-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4c_SW_20251017_093607,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4c_SW_20251017_093607.jpg,115.2859717,-33.882021,17-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW6a_NE_20250520_080604,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW6a_NE_20250520_080604.jpg,115.56293119444445,-34.224672,20-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW6a_NW_20250520_150654,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW6a_NW_20250520_150654.jpg,115.56182069444444,-34.22470919,20-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
